"Date","Brand.Names","Product.Description","Product.Types","Recall.Reason.Description","Company.Name","Category","Food.Sub"
0004-07-20,"Mrs. Gerry's, Open Acres, Festival, Knowlan's and Market Fresh","Egg Salads and Potato Salads","Food & Beverages, Allergens","Undeclared Seafood-fish and shellfish","Mrs. Gerry's Kitchen Inc.","Food & Beverages",""
0004-07-20,"EXO","Blueberry vanilla, peanut butter & jelly, and apple cinnamon cricket protein bars","Food & Beverages, Allergens","Undeclared Sulfites","Aspire Food Group","Food & Beverages",""
0004-07-20,"La Marinera","Dried Yellow Potatoes","Food & Beverages, Allergens","Undeclared Sulfites","Guixens Food Group, Inc.","Food & Beverages",""
0004-06-20,"Budget $aver","Ice pops","Food & Beverages, Foodborne Illness","Listeria","Ziegenfelder Company","Food & Beverages",""
0004-07-20,"Whole Foods Market","Decorated (iced) cookies","Food & Beverages, Allergens","Undeclared egg","Whole Foods Market","Food & Beverages",""
0004-07-20,"eBars","Energy Bars","Food & Beverages, Allergens","Undeclared peanut and/or almond","eBars LLC","Food & Beverages",""
0004-06-20,"Herbal-Salvation","Kratom containing powder products","Food & Beverages, Foodborne Illness","Salmonella","Viable Solutions","Food & Beverages",""
0004-07-20,"Formagere de la Brie","Cheese","Food & Beverages, Foodborne Illness","Potential to be contaminated with Listeria monocytogenes","Seacrest Foods International, Inc.","Food & Beverages",""
0004-07-20,"Advocare","Muscle Strength and Nighttime Recovery dietary supplements","Food & Beverages, Allergens","Undeclared milk","Advocare International","Food & Beverages",""
NA,"Various: Raw Form Organics, Molecule, Chameleon, Naturally, Lifted, Live Well, Third Eye","Powdered kratom products","Food & Beverages, Food & Beverage Safety","Salmonella","Triangle Pharmanaturals LLC","Food & Beverages",""
NA,"Country Daybreak, Food Lion and more","Shell eggs","Food & Beverages, Food & Beverage Safety, Egg/Egg Product","Potential to be contaminated with Salmonella Braenderup","Rose Acre Farms","Food & Beverages","Egg/Egg Product"
NA,"Raw Form Organics","Powdered kratom products","Food & Beverages, Food & Beverage Safety","Potential to be contaminated with salmonella","Triangle Pharmanaturals LLC","Food & Beverages",""
0004-06-20,"Giant Eagle, Market District and GetGo","items prepared with romaine lettuce","Food & Beverages, Foodborne Illness, Produce","Due to Potential E. coli Contamination","Giant Eagle, Inc.","Food & Beverages","Produce"
0004-07-20,"Food Service, H. Brooks, H. Brooks-Taste Buds, and Supervalu - Cub Quick & Easy","Bruschetta Dip and Bruschetta Mix","Food & Beverages, Allergens","Undeclared Soy and Milk","Cut Fruit Express Inc.","Food & Beverages",""
0004-07-20,"Bob's Red Mill","Organic Amaranth Flour","Food & Beverages, Foodborne Illness, Bakery Product/Mix","Salmonella","Bob's Red Mill Natural Foods","Food & Beverages","Bakery Product/Mix"
0004-06-20,"Simply Superior, Morey’s","Smoked Salmon Spreads","Food & Beverages, Foodborne Illness","Listeria","Superior Foods Company","Food & Beverages",""
NA,"Whole Foods Market","Salads sold by the pound at salad bar","Food & Beverages, Food & Beverage Safety","Listeria Monocytogenes, Mann2017","Whole Foods Market","Food & Beverages",""
NA,"Pacific Coast Fruit Company","Bagged Processed Salads","Food & Beverages, Food & Beverage Safety, Produce","potential contamination of Listeria monocytogenes","Pacific Coast Fruit Company","Food & Beverages","Produce"
NA,"Aunt Beth's","Cookies","Food & Beverages, Allergens, Food & Beverage Safety, Chocolate/Cocoa Product","Undeclared peanut and other tree nuts","Aunt Beth’s Cookies","Food & Beverages","Chocolate/Cocoa Product"
NA,"Meijer","Various packaged produce items","Food & Beverages, Food & Beverage Safety, Produce","potential contamination with Listeria monocytogenes","Meijer","Food & Beverages","Produce"
NA,"Ready.Chef.Go!","Seafood meal bags","Food & Beverages, Food & Beverage Safety","Listeria monocytogenes","Randalls, Tom Thumb and Albertsons","Food & Beverages",""
NA,"Albertsons, Safeway Vons, and Pak'N Save","Fresh vegetable trays and cups","Food & Beverages, Food & Beverage Safety","Listeria monocytogenes","Albertsons, Safeway Vons, and Pak'N Save","Food & Beverages",""
NA,"Charlie's Produce, Alaska Carrot","Salad kits and stir fry mixes","Food & Beverages, Food & Beverage Safety, Prepared Food","Listeria monocytogenes","Triple B Corporation","Food & Beverages","Prepared Food"
0010-12-20,"Hannaford, Nice!, Fresh Selects, Enza's Choice","Egg Salad Sandwiches, Ham Salad Sandwiches, and Seafood Stuffing","Food & Beverages, Food & Beverage Safety, Prepared Food","Listeria monocytogenes","Greencore USA, LLC","Food & Beverages","Prepared Food"
NA,"CP Fresh","Salad kits and stir fry mixes","Food & Beverages, Food & Beverage Safety, Prepared Food","Possible Contamination with Listeria Monocytogenes","Triple B Corporation","Food & Beverages","Prepared Food"
NA,"Earthbound Farm LLC","Chopped Asian Style Salad Kit","Food & Beverages, Allergens, Food & Beverage Safety, Prepared Food","Undeclared Milk and Egg","Earthbound Farm LLC","Food & Beverages","Prepared Food"
NA,"King Soopers, City Market","Deli broccoli salads and coleslaw","Food & Beverages, Food & Beverage Safety","Listeria Monocytogenes, Mann2017","King Soopers","Food & Beverages",""
NA,"H-E-B","Soup","Food & Beverages, Food & Beverage Safety, Soup","may be contaminated with Listeria monocytogenes","H-E-B","Food & Beverages","Soup"
NA,"Blue Marble, Roundy's Select, and HyVee","Dark Chocolate Products","Food & Beverages, Allergens, Food & Beverage Safety, Chocolate/Cocoa Product","Allergen: Milk","GKI Foods LLC","Food & Beverages","Chocolate/Cocoa Product"
NA,"Uncle Buck’s and Family Choice","Dark Chocolate Peanuts","Food & Beverages, Allergens, Food & Beverage Safety, Chocolate/Cocoa Product","Undeclared milk","Rucker’s Wholesale and Service Co","Food & Beverages","Chocolate/Cocoa Product"
0011-02-20,"Toothsome Chocolate Emporium","Dark Chocolate Coffee Beans","Food & Beverages, Allergens, Food & Beverage Safety, Chocolate/Cocoa Product","Undeclared milk","Rucker’s Makin’ Batch Candies, Inc.","Food & Beverages","Chocolate/Cocoa Product"
NA,"Wegmans, Alpine Valley, Circle K and others","Dark Chocolate Products","Food & Beverages, Allergens, Food & Beverage Safety","Undeclared milk","First Source","Food & Beverages",""
NA,"DSD Merchandisers, Inc.","Dark Chocolate Almond Products","Food & Beverages, Allergens, Food & Beverage Safety","Undeclared Milk","DSD Merchandisers, Inc.","Food & Beverages",""
NA,"Hot Pockets","Cheese Pizza Snack Bites","Food & Beverages, Allergens, Food & Beverage Safety","Undeclared Allergens egg, milk, soy, and wheat","Nestle USA","Food & Beverages",""
NA,"Shoreline Fruit and Cherry Bay Orchards","Dark Chocolate Covered Cherry Products","Food & Beverages, Allergens, Food & Beverage Safety, Snack Food Item","Milk Allergen","Shoreline Fruit LLC","Food & Beverages","Snack Food Item"
NA,"CVS Gold Emblem, Ocean State Candy, Hannaford Excellent, Market Basket, & Weigels","Dark Chocolate Products","Food & Beverages, Allergens, Food & Beverage Safety","Undeclared milk","New American Food Products, LLC","Food & Beverages",""
NA,"Meijer","Dark Chocolate Products","Food & Beverages, Allergens, Food & Beverage Safety","Undeclared Milk","Meijer","Food & Beverages",""
NA,"Aurora, AG Supermarkets, Belmont Market, and others","Dark Chocolate Products","Food & Beverages, Chocolate/Cocoa Product","Undeclared Milk","Aurora Products, Inc.","Food & Beverages","Chocolate/Cocoa Product"
NA,"Woodstock, Market Basket, Lunds & Byerlys","Dark Chocolate Almonds and Cashews","Food & Beverages, Allergens, Food & Beverage Safety, Chocolate/Cocoa Product","Undeclared Milk","United Natural Trading LLC","Food & Beverages","Chocolate/Cocoa Product"
NA,"Dilettante Chocolates","Espresso Beans","Food & Beverages, Allergens, Food & Beverage Safety, Coffee/Tea","Undeclared almonds","Seattle Gourmet Foods","Food & Beverages","Coffee/Tea"
NA,"Casa Sanchez","Guacamole","Food & Beverages, Food & Beverage Safety","Listeria monocytogenes","Casa Sanchez Foods","Food & Beverages",""
NA,"Casa Sanchez","Guacamole","Food & Beverages, Food & Beverage Safety","Foreign matter: small piece of yellow plastic","Casa Sanchez Foods","Food & Beverages",""
NA,"Nature's Touch","Frozen Green Beans","Food & Beverages, Food & Beverage Safety, Produce","Listeria monocytogenes","Nature's Touch Frozen Foods LLC","Food & Beverages","Produce"
NA,"21st Century Snack Foods","Dark Chocolate Almonds","Food & Beverages, Allergens, Food & Beverage Safety, Snack Food Item","Undeclared Milk Allergen","21st Century Snack Foods","Food & Beverages","Snack Food Item"
NA,"Germack","Dark Chocolate Almond Bark","Food & Beverages, Allergens, Food & Beverage Safety","Undeclared Milk","Germack Roasting Co","Food & Beverages",""
NA,"Casa Sanchez","Guacamole","Food & Beverages, Food & Beverage Safety, Dressing/Condiment","Listeria monocytogenes","Casa Sanchez Foods","Food & Beverages","Dressing/Condiment"
NA,"Whole Foods Market","Pumpkin Drop cookies","Food & Beverages, Allergens, Food & Beverage Safety","Undeclared Walnuts","Whole Foods Market","Food & Beverages",""
NA,"Setton Farms","Dark Chocolate Products","Food & Beverages, Allergens, Food & Beverage Safety","Undeclared Milk","Setton Internatonal Foods, Inc.","Food & Beverages",""
NA,"Figi’s","Bulk dark chocolate gingersnaps and Christmas gingersnap variety","Food & Beverages, Allergens, Food & Beverage Safety, Chocolate/Cocoa Product","Undeclared Allergen (Milk)","Figi’s Companies","Food & Beverages","Chocolate/Cocoa Product"
NA,"Yorgo's, Trader Joe's","Hummus, tahini sauces, yogurt dips, more","Food & Beverages, Food & Beverage Safety","Listeria","Yorgo's Foods, Inc.","Food & Beverages",""
NA,"Giant","Description Corn","Food & Beverages, Food & Beverage Safety","Listeria monocytogenes","Giant Food, LLC","Food & Beverages",""
NA,"Stop & Shop","Corn","Food & Beverages, Food & Beverage Safety","Listeria monocytogenes","The Stop & Shop Supermarket Company LLC","Food & Beverages",""
NA,"None","Chocolate covered coffee beans, cranberries, almonds, raisins, pretzel balls, ginger","Food & Beverages, Allergens, Food & Beverage Safety","Undeclared milk","Kroger","Food & Beverages",""
NA,"GIANT/MARTIN'S","Corn","Food & Beverages, Food & Beverage Safety","Listeria monocytogenes","GIANT Food Stores, LLC and MARTIN’S Food Markets","Food & Beverages",""
NA,"Yorgo Foods Inc.","varieties of Hommus and Baba Ghannouj","Food & Beverages, Allergens, Food & Beverage Safety, Organic Food / Home Grown","potential to be contaminated with Listeria monocytogenes","Yorgo Foods","Food & Beverages","Organic Food / Home Grown"
NA,"All Natural, Weis, generic","Dark chocolate products","Food & Beverages, Allergens, Food & Beverage Safety, Chocolate/Cocoa Product","Undeclared milk","Lipari Foods, LLC","Food & Beverages","Chocolate/Cocoa Product"
NA,"Goya","Adobo with cumin seasoning; adobo with pepper seasoning","Food & Beverages, Food & Beverage Safety","Salmonella","Goya de Puerto Rico","Food & Beverages",""
NA,"Colorado Nut Company and various other private labels","Cashew Cranberry Cherry Jubilee, Oat Bran Nutty Crunch, Honey Nutty Granola, Peanut Delight, and Frontier Trail Mix","Food & Beverages, Allergens, Food & Beverage Safety","Undeclared milk","Colorado Nut Company","Food & Beverages",""
NA,"Bibi Frutix","Bibi Frutix candy","Food & Beverages, Food & Beverage Safety","Potential chemical contamination","Harvesters","Food & Beverages",""
NA,"Apple Ridge","Gala, Fuji, Honeycrisp and Golden Delicious apples","Food & Beverages, Food & Beverage Safety","Listeria monocytogenes","Jack Brown Produce, Inc.","Food & Beverages",""
NA,"N/A","Dark Chocolate Almonds, Dark Chocolate Cashews, and Dark Chocolate Pecans","Food & Beverages, Allergens, Food & Beverage Safety, Chocolate/Cocoa Product","Undeclared Milk","Farrell Farms, Inc.","Food & Beverages","Chocolate/Cocoa Product"
NA,"Fit & Active","Chocolatey Chip Protein Meal Bars","Food & Beverages, Food & Beverage Safety","Due to Presence of Plastic Piece","Leclerc","Food & Beverages",""
NA,"Spice Time and Spice Supreme","Beef Flavored Bouillon Cube products","Food & Beverages, Allergens, Food & Beverage Safety, Spices, Flavors &  Salts","Undeclared Soy and Wheat","Gel Spice Company, Inc.","Food & Beverages","Flavors &  Salts"
NA,"Meijer","Package products containing apple slices","Food & Beverages, Food & Beverage Safety, Fruit/Fruit Product","Listeria monocytogenes","Meijer","Food & Beverages","Fruit/Fruit Product"
NA,"HERB-OX","Beef Flavor Granulated Bouillon","Food & Beverages, Allergens, Food & Beverage Safety, Spices, Flavors &  Salts","Undeclared Milk","Creative Packaging","Food & Beverages","Flavors &  Salts"
NA,"Springfield Smoked Fish","Smoked fish products","Food & Beverages, Food & Beverage Safety","Potential to be contaminated with Listeria monocytogenes","Springfield Smoked Fish","Food & Beverages",""
NA,"Comforts","Comforts FOR BABY Purified Water with Fluoride","Food & Beverages, Food & Beverage Safety","Potential mold contamination - Talaromyces penicillium","Kroger Company","Food & Beverages",""
NA,"Choceur","Dark Chocolate Bars","Food & Beverages, Allergens, Food & Beverage Safety","almond pieces in the product","ALDI","Food & Beverages",""
NA,"HT Traders","Mini Biscotti – Triple Chocolate","Food & Beverages, Allergens, Food & Beverage Safety, Chocolate/Cocoa Product","Undeclared Almonds and Hazelnuts","Harris Teeter","Food & Beverages","Chocolate/Cocoa Product"
NA,"Nodine's Smokehouse, Inc.","Smoked Salmon 1.5 lbs, 8 oz","Food & Beverages, Food & Beverage Safety","Listeria monocytogenes","Nodine's Smokehouse, Inc.","Food & Beverages",""
NA,"Plow & Hearth","Chocolate Covered Cashews","Food & Beverages, Allergens, Food & Beverage Safety, Tree Nuts","Undeclared Peanut","Virginia Diner, Inc.","Food & Beverages","Tree Nuts"
NA,"Springfield","Pre-sliced Nova Salmon","Food & Beverages, Food & Beverage Safety, Seafood/Seafood Product","Listeria monocytogenes","Springfield Smoked Fish","Food & Beverages","Seafood/Seafood Product"
NA,"Springfield Smoked Fish","Smoked fish products","Food & Beverages, Food & Beverage Safety, Fish","Listeria monocytogenes","Springfield Smoked Fish","Food & Beverages","Fish"
0001-03-20,"Polly Ann","Ice Bars","Food & Beverages, Allergens, Ice Cream/Frozen Dairy","Undeclared milk","California Popsicle, Inc.","Food & Beverages","Ice Cream/Frozen Dairy"
NA,"Coconut Tree","Shredded Coconut","Food & Beverages, Foodborne Illness","Potential to be contaminated with salmonella","Evershing International Trading Company","Food & Beverages",""
0001-04-20,"Condies Foods","Fruit cup","Food & Beverages, Allergens, Produce","Undeclared milk and egg allergen","Condies Foods","Food & Beverages","Produce"
0001-12-20,"Rico","Tofu Breakfast Burrito","Food & Beverages, Allergens","Undeclared Soy","Rico Brand","Food & Beverages",""
NA,"Hiland Dairy, Tampico","Orange Juice, Citrus Punch","Food & Beverages, Allergens","Undeclared milk","Hiland Dairy","Food & Beverages",""
NA,"Several Brands","Cheeses, breads, and desserts","Food & Beverages, Allergens","Undeclared Wheat, Soy, Egg, Milk and Undeclared Artificial Coloring","Productos Pacheco Inc.","Food & Beverages",""
0001-02-20,"Southern Home, Shur Fine, Valu Time, more","biscuits","Food & Beverages, Food & Beverage Safety, Bakery Product/Mix","Listeria monocytogenes","T. Marzetti Company","Food & Beverages","Bakery Product/Mix"
0001-05-20,"Chao Café","instant coffee","Food & Beverages, Allergens","Undeclared milk","Hong Lee Trading, Inc.","Food & Beverages",""
NA,"Zero For Him","Dietary Supplement","Food & Beverages, Foodborne Illness","Potential to be contaminated with Salmonella","Break Ventures / California Basics","Food & Beverages",""
NA,"Palmer Bakery Delights","Sea Salt Caramel Hearts","Food & Beverages, Allergens","Undeclared peanut","Palmer Candy Company","Food & Beverages",""
NA,"Clover Valley®","Iced Oatmeal Cookies","Food & Beverages, Allergens","Undeclared Milk and Tree Nuts","Dollar General Corporation","Food & Beverages",""
0001-12-20,"Top's, Purple Cow","Orange Cream Bars","Food & Beverages, Foodborne Illness, Ice Cream/Frozen Dairy","Potential to be contaminated with Listeria monocytogenes","Fieldbrook Foods Corporation","Food & Beverages","Ice Cream/Frozen Dairy"
0001-12-20,"Various brands: Lucerne, Kroger, Sundae Shoppe.","Orange cream bars and chocolate coated vanilla ice cream bars","Food & Beverages, Foodborne Illness, Ice Cream/Frozen Dairy","Potential to be contaminated with Listeria monocytogenes","Fieldbrook Foods Corporation","Food & Beverages","Ice Cream/Frozen Dairy"
NA,"Michelina’s","Fettuccine Alfredo","Food & Beverages, Allergens, Food & Beverage Safety, Prepared Food","Undeclared Soy","Bellisio Foods, Inc.,","Food & Beverages","Prepared Food"
NA,"Daisy’s Bakery Inc.","Gourmet Concha","Food & Beverages, Allergens, Food & Beverage Safety","Undeclared milk","Daisy’s Bakery Inc.","Food & Beverages",""
0001-10-20,"Rely","Dried Longya Lily","Food & Beverages, Allergens","Undeclared Sulfites","Wells Collection Inc","Food & Beverages",""
0001-11-20,"Mary B’s®","Biscuits","Food & Beverages, Foodborne Illness","Potential to be contaminated with Listeria monocytogenes","Hom/Ade Foods, Inc","Food & Beverages",""
NA,"Whole Foods Market","Cheesecake bars","Food & Beverages, Allergens","Undeclared Almond Flour","Whole Foods Market","Food & Beverages",""
0001-02-20,"New Seasons Market Grab and Go","Macaroni and Cheese","Food & Beverages, Allergens, Food & Beverage Safety","Undeclared egg","New Seasons Market","Food & Beverages",""
0001-11-20,"Essential Everyday®","Coat & Bake Original Chicken Coating","Food & Beverages, Allergens","Undeclared milk","Gilster – Mary Lee Corp.","Food & Beverages",""
0001-12-20,"Sundae Shoppe","Raspberry Cream Bars","Food & Beverages, Foodborne Illness, Ice Cream/Frozen Dairy","Potential to be contaminated with Listeria monocytogenes","Fieldbrook Foods Corporation","Food & Beverages","Ice Cream/Frozen Dairy"
NA,"Ottogi","Rice Cake Soup","Food & Beverages, Allergens","Undeclared milk","Ottogi America, Inc.","Food & Beverages",""
0002-08-20,"Hampton Farms","Cashews","Food & Beverages, Food & Beverage Safety, Tree Nuts","Listeria","Ava’s","Food & Beverages","Tree Nuts"
0002-09-20,"Simple Truth","Macadamia Nuts","Food & Beverages, Food & Beverage Safety, Nuts & Nut Products","Listeria monocytogenes","Kroger","Food & Beverages","Nuts & Nut Products"
0002-07-20,"Kroger","Dessert cups","Food & Beverages, Allergens, Food & Beverage Safety, Bakery Product/Mix","Allergen: Milk","Kroger","Food & Beverages","Bakery Product/Mix"
0002-08-20,"Taste of Inspirations","Greek pasta salad","Food & Beverages, Allergens, Food & Beverage Safety","Allergen: Milk","A.S.K. Foods, Inc. (Hannaford Supermarkets)","Food & Beverages",""
0002-08-20,"Schnucks Bakery","Cinnamon Pudding Half Cakes and Cake Slices","Food & Beverages, Allergens, Food & Beverage Safety, Bakery Product/Mix","Undeclared Walnuts","Schnucks Bakery","Food & Beverages","Bakery Product/Mix"
0002-09-20,"Western Family","Western Family Onion Soup Mix","Food & Beverages, Allergens, Food & Beverage Safety, Soup","Allergen: Eggs","Gilster-Mary Lee","Food & Beverages","Soup"
0002-08-20,"Wholesome Country Creamery","Half & Half","Food & Beverages, Food & Beverage Safety","due to the presence of Alkaline Phosphatase","Naturally Wholesome Products LLC","Food & Beverages",""
0002-08-20,"Bakehouse","Cranberry Orange Bread","Food & Beverages, Allergens, Food & Beverage Safety, Bakery Product/Mix","Allergen: Pecans and Tree Nuts","Fry’s Food Stores","Food & Beverages","Bakery Product/Mix"
0002-09-20,"De Mi Pais","Queso Fresco","Food & Beverages, Food & Beverage Safety","Potential to be contaminated with Listeria monocytogenes","Global Garlic Inc.","Food & Beverages",""
0002-09-20,"Krimson","Frozen Yellowfin Tuna steaks and cubes","Food & Beverages, Food & Beverage Safety","Hepatitis A Linked to Frozen Tuna","Hilo Fish Company","Food & Beverages",""
0002-08-20,"Southern Grove","Cashews Halves and Pieces with sea salt","Food & Beverages, Food & Beverage Safety, Tree Nuts","Foreign Material","Star Snacks Co.","Food & Beverages","Tree Nuts"
0006-08-20,"Goodseed","Soybean sprouts","Food & Beverages, Food & Beverage Safety, Grain/Grain Product","Listeria","Happy Sprout Inc","Food & Beverages","Grain/Grain Product"
0006-09-20,"Fresh Selections by Kroger, Club Chef LLC","Snack kits containing vegetables","Food & Beverages, Food & Beverage Safety, Snack Food Item","Listeria","Club Chef LLC","Food & Beverages","Snack Food Item"
0006-12-20,"Gourmet Bay","Breaded Tilapia: toasted crumb, honey mustard, citrus coconut","Food & Beverages, Allergens, Food & Beverage Safety","Undeclared Milk","Slade Gorton Co. Inc.","Food & Beverages",""
0002-08-20,"CC Kitchens","Salad and Slaw kits containing leafy greens","Food & Beverages, Food & Beverage Safety, Prepared Food","Listeria","CC Kitchens","Food & Beverages","Prepared Food"
0002-09-20,"Market District, Giant Eagle","Toasted crumb tilapia, breaded chicken breast","Food & Beverages, Allergens, Food & Beverage Safety","Undeclared Milk Allergen","Giant Eagle, Inc.","Food & Beverages",""
0002-08-20,"Simple Truth","Macadamia nuts","Food & Beverages, Food & Beverage Safety","Potential to be contaminated with Listeria monocytogenes","The Kroger Co.","Food & Beverages",""
0002-08-20,"Ellyndale Nutty Infusions","Almond butter, Cashew butter","Food & Beverages, Food & Beverage Safety, Butter/Butter Product","Listeria","NOW Health Group Inc.","Food & Beverages","Butter/Butter Product"
NA,"THE DUCK","FROZEN STEAMED SCOMBER FISH","Food & Beverages, Food & Beverage Safety, Fish","Uneviscerated Product","WILLIS OCEAN INC.","Food & Beverages","Fish"
0002-06-20,"Masa’s Gourmet","Sauces","Food & Beverages, Allergens, Food & Beverage Safety","Undeclared milk","Rikki USA, Inc.","Food & Beverages",""
0002-06-20,"Kabir’s Bakery","Pastries","Food & Beverages, Food & Beverage Safety","Undeclared Milk","Kabir’s Bakery","Food & Beverages",""
0002-08-20,"Ava's","Cashews, Almonds","Food & Beverages, Food & Beverage Safety","Potential to be contaminated with Listeria monocytogenes","Hampton Farms","Food & Beverages",""
0002-09-20,"Fresh Foods Market, Lantana, Marketside","Hummus","Food & Beverages, Food & Beverage Safety","Potential to be contaminated with Listeria monocytogenes","House of Thaller","Food & Beverages",""
0002-08-20,"Fat Cat","Hot Sauce","Food & Beverages, Allergens, Food & Beverage Safety, Gravy/Sauces","Undeclared peanut","Fat Cat Gourmet Foods","Food & Beverages","Gravy/Sauces"
0002-08-20,"Market Basket, Wholesome Pantry, Nature’s Promise, more","Trail Mixes","Food & Beverages, Food & Beverage Safety, Snack Food Item","Listeria monocytogenes","United Natural Trading LLC","Food & Beverages","Snack Food Item"
0002-08-20,"JFC International Inc.","Rice Seasoning","Food & Beverages, Allergens, Food & Beverage Safety, Spices, Flavors &  Salts","Undeclared wheat, soy, and fish","JFC International Inc.","Food & Beverages","Flavors &  Salts"
0002-08-20,"Creamy Creations","Ice Cream","Food & Beverages, Allergens, Food & Beverage Safety","Undeclared nut","HEB","Food & Beverages",""
0002-08-20,"Publix","Tropical Medley Mix","Food & Beverages, Food & Beverage Safety, Snack Food Item","Listeria monocytogenes","Publix Super Markets","Food & Beverages","Snack Food Item"
0002-09-20,"Nabelsi","Thyme","Food & Beverages, Food & Beverage Safety, Spices, Flavors &  Salts","Lead Contaminant","Aroma Imports Inc.","Food & Beverages","Flavors &  Salts"
0002-08-20,"Nutiva","Protein shake","Food & Beverages, Allergens, Food & Beverage Safety, Milk/Milk Product","Undeclared Peanuts","Nutiva","Food & Beverages","Milk/Milk Product"
0002-08-20,"Ronzoni","Thin Spaghetti","Food & Beverages, Allergens, Food & Beverage Safety, Prepared Food","Undeclared Egg Allergen","Riviana Foods Inc","Food & Beverages","Prepared Food"
0002-09-20,"20/20 Life Styles","Yogurt Peanut Crunch protein bar","Food & Beverages, Food & Beverage Safety, Meal Replacements","E.coli","Pro Sports Club","Food & Beverages","Meal Replacements"
0002-08-20,"Nuvita","Plant based superfood 30 shakes, chocolate flavor and vanilla flavor","Food & Beverages, Allergens, Food & Beverage Safety, Meal Replacements","Undeclared Peanuts","Nuvita","Food & Beverages","Meal Replacements"
0002-08-20,"Whole Foods Market","Banana Chocolate Chip Muffins","Food & Beverages, Allergens, Food & Beverage Safety, Bakery Product/Mix","Undeclared Walnuts","Whole Foods Market","Food & Beverages","Bakery Product/Mix"
0002-07-20,"Beyond Meat","Feisty Crumbles","Food & Beverages, Allergens, Food & Beverage Safety, Prepared Food","Undeclaared Peanuts","Beyond Meat","Food & Beverages","Prepared Food"
0002-09-20,"Whole Foods Market","Tarts","Food & Beverages, Allergens, Food & Beverage Safety","Undeclared Almond Flour","Whole Foods Market","Food & Beverages",""
0002-09-20,"Tupperware","Southwest Chipotle Seasoning","Food & Beverages, Food & Beverage Safety, Spices, Flavors &  Salts","Salmonella","Tupperware U.S., Inc.","Food & Beverages","Flavors &  Salts"
0002-08-20,"Golden Flake","Potato chips","Food & Beverages, Allergens, Food & Beverage Safety","Contain Milk and other Dairy Ingredients","Golden Flake Snack Foods, Inc.","Food & Beverages",""
0002-08-20,"Pictsweet Farms","Breaded Okra","Food & Beverages, Food & Beverage Safety, Produce","May contain glass fragments","The Pictsweet Company","Food & Beverages","Produce"
0002-08-20,"Stauffer’s","Animal crackers","Food & Beverages, Allergens, Food & Beverage Safety","Undeclared Milk","D. F. Stauffer Biscuit Co.","Food & Beverages",""
0002-08-20,"Chip’n Dipped","Dark Chocolate Bars","Food & Beverages, Allergens, Food & Beverage Safety, Chocolate/Cocoa Product","Undeclared Milk","Chip’n Dipped","Food & Beverages","Chocolate/Cocoa Product"
0002-08-20,"Specialty Commodities","Almonds","Food & Beverages, Allergens, Food & Beverage Safety","Undeclared Cashew","Specialty Commodities, Inc.","Food & Beverages",""
0002-09-20,"Lam Sheng Kee","Frozen Fish Tofu, Frozen Fried Fish Ball and Frozen White Fish Ball","Food & Beverages, Allergens, Food & Beverage Safety, Fish","Undeclared Egg","Global Lamsheng Kee Inc.","Food & Beverages","Fish"
0002-09-20,"Bakery Fresh Goodness","Carrot Cupcakes","Food & Beverages, Allergens, Food & Beverage Safety, Bakery Product/Mix","Undeclared soy and milk","Fred Meyer Stores","Food & Beverages","Bakery Product/Mix"
0002-09-20,"Dierbergs Kitchen","Deli Products","Food & Beverages, Allergens, Food & Beverage Safety, Dressing/Condiment","Undeclared Fish and Milk","Dierbergs Markets","Food & Beverages","Dressing/Condiment"
0002-07-20,"Marich Confectionery","Chocolate Caramel Hearts","Food & Beverages, Allergens, Food & Beverage Safety","Undeclared Almonds","Marich Confectionery","Food & Beverages",""
0002-08-20,"Anarkali","Naan (bread)","Food & Beverages, Allergens, Food & Beverage Safety, Bakery Product/Mix","Undeclared milk","Raja Foods","Food & Beverages","Bakery Product/Mix"
0002-06-20,"Falafel King","Tzatziki (cucumber) sauce","Food & Beverages, Allergens, Food & Beverage Safety","Undeclared Milk","Falafel King","Food & Beverages",""
0002-08-20,"CLIF","Snack Bars","Food & Beverages, Allergens, Food & Beverage Safety, Meal Replacements","Undeclared peanut and some tree nuts","Undeclared peanut and some tree nuts","Food & Beverages","Meal Replacements"
0002-08-20,"Ruth's","Pimento Spread","Food & Beverages, Food & Beverage Safety, Cheese/Cheese Product","Listeria monocytogenes","Ruth's Salads","Food & Beverages","Cheese/Cheese Product"
0002-08-20,"Ruth's","Pimento Spread","Food & Beverages, Food & Beverage Safety, Cheese/Cheese Product","May Contain Listeria Monocytogenes","Ruth's Salads","Food & Beverages","Cheese/Cheese Product"
0002-08-20,"Coborn’s and Cash Wise","Chocolate chip cookie bars","Food & Beverages, Allergens, Food & Beverage Safety","Undeclared milk","Coborn’s Inc","Food & Beverages",""
0003-01-20,"Amish Classics, Deli Readi, Deli Made, Meijer, more","Cheese","Food & Beverages, Food & Beverage Safety, Cheese/Cheese Product","Listeria","MDS Foods Inc.,","Food & Beverages","Cheese/Cheese Product"
0002-08-20,"Whole Foods Market","PB&J Greek Yogurt Parfaits","Food & Beverages, Allergens, Food & Beverage Safety","Undeclared Allergens - soy and tree nut (almond and coconut)","Sunneen Health Foods","Food & Beverages",""
0002-07-20,"Cousins","Tomato Salad Dressing","Food & Beverages, Allergens, Food & Beverage Safety, Dressing/Condiment","Undeclared Milk","Cousins Products LLC","Food & Beverages","Dressing/Condiment"
